aw_deep_link,product_name,aw_product_id,merchant_product_id,merchant_image_url,description,merchant_category,search_price,currency,aw_image_url,large_image,merchant_name,merchant_product_category_path,merchant_product_third_category,merchant_product_second_category,category_id,brand_name,colour,product_model,product_type,rrp_price,base_price,display_price,parent_product_id,alternate_image,aw_thumb_url,custom_1,custom_3,custom_2
https://www.awin1.com/pclick.php?p=41953963565&a=2852641&m=5238,"Artificial Magnolia Tree - Green",41953963565,8715875,https://www.therange.co.uk/media/3/1/1752460690_5255.jpg,"Our 100 cm artificial magnolia tree, adorned with lifelike pink magnolia blossoms and lush green leaves, exudes elegance and charm as well as adds a touch of sophistication to your living space. Constructed from premium rubber fabric, the leaves and flowers ensure durability and a natural feel, making it a lasting addition to your decoration. And it requires no maintenance, saving you time and ensuring your space always looks inviting. The included sturdy cement pot provides stability and prevents accidental toppling, giving you peace of mind, especially in households with children or pets. Ideal for a variety of settings, from home living areas to office spaces, it also serves as a beautiful decoration for celebrations and as a thoughtful housewarming gift.","Home & Garden > Decor > Artificial Flora",39.95,GBP,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=ssl%3Awww.therange.co.uk%2Fmedia%2F3%2F1%2F1752460690_5255.jpg&feedId=80175&k=464f45e1b711de50205fffcac9b08bcd84efdd5b,https://www.therange.co.uk/media/3/1/1752460690_5255.jpg,"The Range",,,,456,COSTWAY,Green,,"Home Furnishings & Lighting > Vases & Artificial Plants > Artificial Plants",39.95,39.95,GBP39.95,,https://www.therange.co.uk/media/4/4/1752460911_6902.jpg,https://images2.productserve.com/?w=70&h=70&bg=white&trim=5&t=letterbox&url=ssl%3Awww.therange.co.uk%2Fmedia%2F3%2F1%2F1752460690_5255.jpg&feedId=80175&k=464f45e1b711de50205fffcac9b08bcd84efdd5b,,,
https://www.awin1.com/pclick.php?p=43428134073&a=2852641&m=496,"Doff Multi Purpose Plant Feed Concentrate 1l",43428134073,782243,https://www.tooled-up.com/artwork/prodzoom/DOFFHHA00DOF.jpg,"The Doff Multi-Purpose Plant Feed Concentrate is a seaweed-enriched liquid fertiliser designed for the healthy growth of container plants, hanging baskets, and all garden plants. This fast-acting concentrate formula delivers essential nutrients to promote stronger, more vigorous plant development across a wide range of growing applications. The seaweed extract formulation supports multiple aspects of plant health, improving flowering performance, fruit production, and encouraging greener foliage growth. The concentrate also enhances root development and overall plant vigour, making it ideal for maintaining healthy container-grown specimens and established garden plants throughout the growing season. Supplied as an easy-to-dilute liquid concentrate, one litre of this multi-purpose feed makes up to 300 litres of ready-to-use plant feed solution, providing economical coverage for gardens, containers, and basket displays. The liquid format ensures quick dissolution and even distribution when applied according to the manufacturer's dilution guidelines. Features and Benefits: &bull; Enriched with seaweed extract for enhanced plant nutrition &bull; Fast-acting formula for visible results &bull; Improves flowering, fruiting, and greener growth &bull; Promotes healthier plants and stronger root development &bull; One litre makes up to 300 litres of plant feed Specifications: Feed Type: Multi-Purpose Size (L): 1","Garden Tools > Chemicals & Fertilisers > Fertilisers",5.95,GBP,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=ssl%3Awww.tooled-up.com%2Fartwork%2Fprodzoom%2FDOFFHHA00DOF.jpg&feedId=496&k=625436f3932e69ca9ef0f4ceb6f13974d6839b72,,"Tooled Up",,,,456,Doff,,,,5.76,,GBP5.95,,,https://images2.productserve.com/?w=70&h=70&bg=white&trim=5&t=letterbox&url=ssl%3Awww.tooled-up.com%2Fartwork%2Fprodzoom%2FDOFFHHA00DOF.jpg&feedId=496&k=625436f3932e69ca9ef0f4ceb6f13974d6839b72,,,
https://www.awin1.com/pclick.php?p=43428133424&a=2852641&m=496,"Doff Container and Basket Plant Feed Concentrate 1l",43428133424,782244,https://www.tooled-up.com/artwork/prodzoom/DOFFJRA00DOF.jpg,"The Doff Container and Basket Plant Feed Concentrate is a fast-acting liquid fertiliser designed for optimal nutrient delivery to container-grown and basket plants. This easy-to-dilute formula provides essential nutrients and micronutrients that promote strong, healthy plant development across all garden plant types. This concentrated feed delivers multiple benefits including improved flowering and fruiting performance, enhanced foliage colour, healthier overall plant growth, and stronger root development. The 1-litre bottle is highly economical, producing up to 400 litres of ready-to-use plant feed when diluted according to instructions. Ideal for professional landscapers and grounds maintenance teams working with container displays, hanging baskets, and seasonal planting schemes. Equally suitable for greenhouse cultivation, patio containers, and general garden feeding applications where consistent nutrient delivery is essential for maintaining healthy plant growth throughout the growing season. Features and Benefits: &bull; Fast-acting formula for quick nutrient uptake &bull; Highly concentrated - 1 litre makes up to 400 litres of feed &bull; Provides essential nutrients and micronutrients for comprehensive plant nutrition &bull; Improves flowering, fruiting, and overall plant health &bull; Promotes stronger root development and greener growth &bull; Suitable for container plants, baskets, and all garden plants Specifications: Feed Type: Container & Basket Size (L): 1","Garden Tools > Chemicals & Fertilisers > Fertilisers",5.95,GBP,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=ssl%3Awww.tooled-up.com%2Fartwork%2Fprodzoom%2FDOFFJRA00DOF.jpg&feedId=496&k=30ee2413db326d6e9ab408991f5e508d99aa7756,,"Tooled Up",,,,456,Doff,,,,5.74,,GBP5.95,,,https://images2.productserve.com/?w=70&h=70&bg=white&trim=5&t=letterbox&url=ssl%3Awww.tooled-up.com%2Fartwork%2Fprodzoom%2FDOFFJRA00DOF.jpg&feedId=496&k=30ee2413db326d6e9ab408991f5e508d99aa7756,,,
https://www.awin1.com/pclick.php?p=32817953675&a=2852641&m=496,"Vitax Growmore Fertiliser 1.25kg",32817953675,175221,https://www.tooled-up.com/artwork/prodzoom/VTX6GR25.jpg,"Vitax Growmore is a general purpose fertiliser designed for comprehensive garden and greenhouse use. This highly effective formula delivers the three major plant nutrients essential for strong, healthy plant growth: Nitrogen (N) for foliage development, Phosphates (P) for root establishment, and Potassium (K) for flower and fruit production. The balanced NPK formulation promotes heavy crops of fruit and vegetables whilst encouraging vigorous plant development and beautiful flowering displays. Whether you're cultivating vegetable patches, flower beds, or ornamental borders, this versatile fertiliser supports optimal plant nutrition throughout the growing season. Vitax Growmore is also ideal for use before laying turf or sowing grass seed, providing newly established lawns with essential nutrients for robust root development. Apply evenly at the recommended rates, then hoe or fork into the top surface of the soil. Water well after application if conditions are dry to ensure maximum nutrient uptake and effectiveness. Features and Benefits: &bull; Contains balanced NPK nutrients for comprehensive plant feeding &bull; Suitable for vegetables, flowers, lawns and general garden use &bull; Easy application with simple soil incorporation method Specifications: Feed Type: Multi-Purpose Size (kg): 1.25","Garden Tools > Chemicals & Fertilisers > Fertilisers",7.49,GBP,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=ssl%3Awww.tooled-up.com%2Fartwork%2Fprodzoom%2FVTX6GR25.jpg&feedId=19859&k=31cd662eff0b934daf84729ea3cbab7a4a5cc5d5,,"Tooled Up",,,,456,Vitax,,,,6.47,,GBP7.49,,,https://images2.productserve.com/?w=70&h=70&bg=white&trim=5&t=letterbox&url=ssl%3Awww.tooled-up.com%2Fartwork%2Fprodzoom%2FVTX6GR25.jpg&feedId=19859&k=31cd662eff0b934daf84729ea3cbab7a4a5cc5d5,,,
https://www.awin1.com/pclick.php?p=40761721823&a=2852641&m=496,"Vitax Compost Maker 2.5kg",40761721823,175219,https://www.tooled-up.com/artwork/prodzoom/VTX6CM250.jpg,"The Vitax Compost Maker is a compost accelerator designed to speed up the breakdown of organic garden and household waste, transforming it into rich, dark compost in a matter of weeks. This economical solution contains organic nutrients that accelerate decomposition of materials which might otherwise degrade very slowly, making it an essential product for gardeners and landscapers looking to recycle organic waste efficiently. This versatile compost maker works with a wide range of organic materials including grass cuttings, weeds, leaves, vegetable matter, egg shells, and shredded woody material. Whether you're managing traditional compost heaps, using compost bins, or working with plastic sacks, this accelerator integrates easily into your composting system. For compost heaps, simply alternate layers of organic material with Vitax Compost Maker, keeping the top warm and moist by covering with a polythene sheet. When using compost bins or plastic sacks, mix the accelerator directly with the material whilst filling. This flexibility makes it suitable for both professional landscaping operations and domestic gardening projects where quality compost production is required. Features and Benefits: &bull; Contains organic nutrients to accelerate natural decomposition &bull; Produces rich, dark compost in weeks rather than months &bull; Works with diverse organic materials from grass to woody waste &bull; Compatible with heaps, bins, and sack composting systems Specifications: Feed Type: Compost Maker Size (kg): 2.5","Garden Tools > Chemicals & Fertilisers > Fertilisers",8.95,GBP,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=ssl%3Awww.tooled-up.com%2Fartwork%2Fprodzoom%2FVTX6CM250.jpg&feedId=19859&k=fa98f655c2eaa65cd33c570deecbd9338522f66d,,"Tooled Up",,,,456,Vitax,,,,7.74,,GBP8.95,,,https://images2.productserve.com/?w=70&h=70&bg=white&trim=5&t=letterbox&url=ssl%3Awww.tooled-up.com%2Fartwork%2Fprodzoom%2FVTX6CM250.jpg&feedId=19859&k=fa98f655c2eaa65cd33c570deecbd9338522f66d,,,
https://www.awin1.com/pclick.php?p=35267443405&a=2852641&m=496,"Doff Tomato Pour and Feed Plant Food 2.5l",35267443405,298682,https://www.tooled-up.com/artwork/prodzoom/DOFJSC00.jpg,"The Doff Tomato Pour and Feed is a ready-to-use liquid plant food specifically formulated for tomatoes and fruiting vegetables. Enriched with magnesium and seaweed extract, this convenient feed requires no mixing or dilution – simply pour directly around the base of your plants for instant nutrition. This complete fertiliser delivers all essential nutrients to promote vigorous plant growth and maximise crop yields from tomatoes, sweet peppers, squash, courgettes and aubergines. The added magnesium helps prevent common deficiency problems, whilst the seaweed content supports overall plant health and resilience throughout the growing season. Ideal for greenhouse cultivation and outdoor vegetable plots, this ready-to-use formula is designed for application between March and September when plants are actively growing and producing fruit. The 3-litre bottle provides convenient feeding for multiple plants without the need for measuring or preparation. Features and Benefits: &bull; Ready to use formula – no dilution or mixing required &bull; Contains added magnesium to prevent nutrient deficiencies &bull; Enriched with seaweed extract for enhanced plant health &bull; Suitable for tomatoes, peppers, squash, courgettes and aubergines Specifications: Feed Type: Tomato Size (L): 3","Garden Tools > Chemicals & Fertilisers > Fertilisers",6.49,GBP,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=ssl%3Awww.tooled-up.com%2Fartwork%2Fprodzoom%2FDOFJSC00.jpg&feedId=19859&k=e30f5fc8a21703c1f4f81b6b8f0ae47bf9c6d145,,"Tooled Up",,,,456,Doff,,,,6.16,,GBP6.49,,,https://images2.productserve.com/?w=70&h=70&bg=white&trim=5&t=letterbox&url=ssl%3Awww.tooled-up.com%2Fartwork%2Fprodzoom%2FDOFJSC00.jpg&feedId=19859&k=e30f5fc8a21703c1f4f81b6b8f0ae47bf9c6d145,,,
https://www.awin1.com/pclick.php?p=41740293602&a=2852641&m=496,"Vitax Liquid Tomato Feed 1l",41740293602,175209,https://www.tooled-up.com/artwork/prodzoom/VTX5LT1.jpg,"Vitax Liquid Tomato Feed is a high potash fertiliser designed to promote bumper crops of juicy, flavourful tomatoes. With a balanced NPK ratio of 4:2:6, this liquid feed delivers the essential nutrients needed throughout the growing season to support healthy plant development and abundant fruit production. This versatile tomato fertiliser is suitable for plants grown in various environments, including outdoors, indoors, under cover, and in grow-bags. Simply mix with water and apply according to the pack instructions, adjusting the frequency based on your growing method and the plant's development stage. Application rates vary depending on growing conditions. For tomatoes in grow-bags, feed weekly until the second truss has set, then increase to twice weekly. Outdoor tomatoes require feeding every 14 days initially, increasing to weekly after the second truss sets. For plants grown under cover, begin weekly applications once the second truss has set. Apply throughout spring and the growing season for best results. Features and Benefits: &bull; High potash formula promotes abundant fruit production and enhanced flavour &bull; Suitable for all growing methods including outdoor, indoor, and grow-bag cultivation &bull; Easy-to-use liquid format mixes readily with water for convenient application Specifications: Feed Type: Tomato Size (L): 1","Garden Tools > Chemicals & Fertilisers > Fertilisers",7.49,GBP,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=ssl%3Awww.tooled-up.com%2Fartwork%2Fprodzoom%2FVTX5LT1.jpg&feedId=19859&k=af28adc808e06505f7da7b268285e94ea1292acb,,"Tooled Up",,,,456,Vitax,,,,6.38,,GBP7.49,,,https://images2.productserve.com/?w=70&h=70&bg=white&trim=5&t=letterbox&url=ssl%3Awww.tooled-up.com%2Fartwork%2Fprodzoom%2FVTX5LT1.jpg&feedId=19859&k=af28adc808e06505f7da7b268285e94ea1292acb,,,
https://www.awin1.com/pclick.php?p=38122830006&a=2852641&m=496,"Vitax Growmore Garden Fertiliser 1l",38122830006,175208,https://www.tooled-up.com/artwork/prodzoom/VTX5LG1.jpg,"The Vitax Growmore Garden Fertiliser is a multi-purpose liquid feed designed to promote healthy plant growth across all areas of the garden and greenhouse. This concentrated formula contains the three essential plant nutrients - Nitrogen (N), Phosphates (P) and Potassium (K) - to support vigorous growth, encourage heavy crops of fruit and vegetables, and produce vibrant flowering displays. Supplied in a convenient concentrated liquid form, this fertiliser offers excellent value and longevity. Just two capfuls (30ml) dilute into 8 litres of water, meaning one pack provides numerous applications throughout the growing season. For optimal results, apply the diluted fertiliser generously on a weekly basis, ensuring plants remain consistently watered and do not dry out between applications. This regular feeding regime supports sustained nutrient availability for strong, healthy plant development. Features and Benefits: &bull; Concentrated liquid formula for economical use and easy dilution &bull; Contains NPK nutrients for balanced plant nutrition &bull; Suitable for vegetables, fruit, flowers and general garden use &bull; Simple weekly application supports consistent plant growth Specifications: Feed Type: Multi-Purpose Size (L): 1","Garden Tools > Chemicals & Fertilisers > Fertilisers",10.95,GBP,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=ssl%3Awww.tooled-up.com%2Fartwork%2Fprodzoom%2FVTX5LG1.jpg&feedId=19859&k=dfd8a62e42f6ce90bbfe750027da3da4c6a54e6d,,"Tooled Up",,,,456,Vitax,,,,8.96,,GBP10.95,,,https://images2.productserve.com/?w=70&h=70&bg=white&trim=5&t=letterbox&url=ssl%3Awww.tooled-up.com%2Fartwork%2Fprodzoom%2FVTX5LG1.jpg&feedId=19859&k=dfd8a62e42f6ce90bbfe750027da3da4c6a54e6d,,,
https://www.awin1.com/pclick.php?p=32557989217&a=2852641&m=496,"Vitax Bonemeal Fertiliser 1.25kg",32557989217,175218,https://www.tooled-up.com/artwork/prodzoom/VTX6BM125.jpg,"Vitax Bonemeal Fertiliser is a slow-release organic fertiliser designed to encourage strong root development in a wide range of plants. With an NPK ratio of 3.5-20-0, this sterilised bonemeal provides essential phosphates and nitrogen to support healthy plant growth. The slow, steady release of nutrients over an extended period makes it particularly effective for long-term plant health. This organic fertiliser is ideal for bulbs and herbaceous plants, shrubs, roses, fruit trees and strawberries. The gradual nutrient release ensures plants receive consistent feeding throughout the growing season, promoting robust root systems and improved overall vigour. Apply as required during the growing season to maintain optimal plant health. Vitax Bonemeal can be applied prior to sowing or planting to prepare the soil, or used as a top dressing for established roses, border plants, fruit trees and bushes. The versatile application methods make it suitable for both initial planting and ongoing maintenance feeding programmes. Features and Benefits: &bull; Slow-release formula provides long-lasting nutrition &bull; High phosphate content promotes strong root development &bull; Sterilised organic fertiliser safe for use around plants &bull; Suitable for a wide range of plants including bulbs, roses and fruit trees &bull; Can be used at planting or as a top dressing Specifications: Feed Type: Organic Size (kg): 1.25","Garden Tools > Chemicals & Fertilisers > Fertilisers",7.49,GBP,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=ssl%3Awww.tooled-up.com%2Fartwork%2Fprodzoom%2FVTX6BM125.jpg&feedId=19859&k=325fcf5875f633e55d75b4a47278e574453eb0b8,,"Tooled Up",,,,456,Vitax,,,,6.46,,GBP7.49,,,https://images2.productserve.com/?w=70&h=70&bg=white&trim=5&t=letterbox&url=ssl%3Awww.tooled-up.com%2Fartwork%2Fprodzoom%2FVTX6BM125.jpg&feedId=19859&k=325fcf5875f633e55d75b4a47278e574453eb0b8,,,
https://www.awin1.com/pclick.php?p=41855989203&a=2852641&m=496,"Vitax Organic Liquid Seaweed Fertiliser 1l",41855989203,175216,https://www.tooled-up.com/artwork/prodzoom/VTX5SW500.jpg,"Vitax Organic Liquid Seaweed Fertiliser is a concentrated liquid extract designed to promote healthy growth across a wide range of plants, flowers and vegetables. This organic formulation provides essential nutrients that help strengthen plants, making them more resilient to environmental stress, pest attacks and disease. Applied as either a liquid root drench or foliar spray, this versatile fertiliser is ideal for use on flowers, fruit crops, vegetables, shrubs and trees throughout gardens and landscaped areas. Regular application during the growing season from spring onwards helps maintain plant vigour and supports robust development. The concentrated formula requires dilution with water before use, and can be applied through a watering can, fine sprayer or hose-end diluter for convenient coverage. This flexibility makes it suitable for both small-scale garden maintenance and larger professional landscaping projects. Features and Benefits: &bull; Concentrated organic formula for economical use &bull; Helps plants withstand environmental stress and disease &bull; Versatile application methods including root drench and foliar spray &bull; Suitable for use throughout the growing season Specifications: Feed Type: Organic Size (L): 1","Garden Tools > Chemicals & Fertilisers > Fertilisers",10.95,GBP,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=ssl%3Awww.tooled-up.com%2Fartwork%2Fprodzoom%2FVTX5SW500.jpg&feedId=19859&k=a07481ac783b06e79d389352bd128c0c66999838,,"Tooled Up",,,,456,Vitax,,,,10.67,,GBP10.95,,,https://images2.productserve.com/?w=70&h=70&bg=white&trim=5&t=letterbox&url=ssl%3Awww.tooled-up.com%2Fartwork%2Fprodzoom%2FVTX5SW500.jpg&feedId=19859&k=a07481ac783b06e79d389352bd128c0c66999838,,,
